Datetime,Sea pressure - decibar,Sea temperature adjusted,QC
2024-01-17 19:38:32,85.4,22.785,1
2024-01-17 19:38:32,105.5,22.185,1
2024-01-17 19:38:32,135.4,19.657,1
2024-01-17 19:38:32,145.1,19.345,1
2024-01-17 19:38:32,165.6,17.91,1
2024-01-17 19:38:32,195.6,16.18,1
2024-01-17 19:38:32,212.3,16.03,1
2024-01-17 19:38:32,263.2,14.654,1
2024-01-17 19:38:32,362.8,13.542,1
2024-01-17 19:38:32,388,13.331,1
2024-01-17 19:38:32,463.2,12.849,1
2024-01-17 19:38:32,488.2,12.617,1
2024-01-17 19:38:32,562.4,12.079,1
2024-01-17 19:38:32,587.5,11.944,1
2024-01-17 19:38:32,663.3,11.265,1
2024-01-17 19:38:32,688,11.13,1
2024-01-17 19:38:32,738.2,10.736,1
2024-01-17 19:38:32,812.8,10.21,1
2024-01-17 19:38:32,837.9,10.007,1
2024-01-17 19:38:32,887.4,9.444,1
2024-01-17 19:38:32,937.5,9.098,1
2024-01-17 19:38:32,1012.9,8.642,1
2024-01-17 19:38:32,1062.9,8.233,1
2024-01-17 19:38:32,1138.5,7.683,1
2024-01-17 19:38:32,1188,7.534,1
2024-01-17 19:38:32,1238,7.185,1
2024-01-17 19:38:32,1287.9,6.851,1
2024-01-17 19:38:32,1312.5,6.783,1
2024-01-17 19:38:32,1387.9,6.245,1
2024-01-17 19:38:32,1437.7,5.919,1
2024-01-17 19:38:32,1488,5.668,1
2024-01-17 19:38:32,1538.1,5.378,1
2024-01-17 19:38:32,1588.2,5.018,1
2024-01-17 19:38:32,1638.4,4.657,1
2024-01-17 19:38:32,1688.1,4.426,1
2024-01-17 19:38:32,1737.6,4.113,1
2024-01-17 19:38:32,1788,3.859,1
2024-01-17 19:38:32,1812.5,3.75,1
2024-01-17 19:38:32,1888.2,3.525,1
2024-01-17 19:38:32,1938,3.403,1
2024-01-17 19:38:32,1980,3.255,1
2024-01-27 19:36:03,0.2,26.678,1
2024-01-27 19:36:03,2.2,26.691,1
2024-01-27 19:36:03,3.9,26.686,1
2024-01-27 19:36:03,5.8,26.682,1
2024-01-27 19:36:03,6.9,26.689,1
2024-01-27 19:36:03,9.9,26.696,1
2024-01-27 19:36:03,25.3,26.528,1
2024-01-27 19:36:03,45.5,26.421,1
2024-01-27 19:36:03,65.3,24.223,1
2024-01-27 19:36:03,85,23.144,1
2024-01-27 19:36:03,115.5,22.423,1
2024-01-27 19:36:03,125.2,21.683,1
2024-01-27 19:36:03,145.2,19.215,1
2024-01-27 19:36:03,165,18.459,1
2024-01-27 19:36:03,185.3,17.066,1
2024-01-27 19:36:03,213,16.132,1
2024-01-27 19:36:03,287.7,13.999,1
2024-01-27 19:36:03,313.4,14.044,1
2024-01-27 19:36:03,387.9,13.556,1
2024-01-27 19:36:03,438,13.054,1
2024-01-27 19:36:03,488.1,12.565,1
2024-01-27 19:36:03,562.4,12.074,1
2024-01-27 19:36:03,612.9,11.84,1
2024-01-27 19:36:03,663.1,11.356,1
2024-01-27 19:36:03,688.3,11.111,1
2024-01-27 19:36:03,738.1,10.774,1
2024-01-27 19:36:03,788.5,10.255,1
2024-01-27 19:36:03,862.9,9.552,1
2024-01-27 19:36:03,913.1,9.188,1
2024-01-27 19:36:03,987.9,8.452,1
2024-01-27 19:36:03,1012.9,8.239,1
2024-01-27 19:36:03,1063.1,7.941,1
2024-01-27 19:36:03,1137.5,7.631,1
2024-01-27 19:36:03,1187.5,7.253,1
2024-01-27 19:36:03,1212.6,7.136,1
2024-01-27 19:36:03,1287.8,6.653,1
2024-01-27 19:36:03,1338.1,6.294,1
2024-01-27 19:36:03,1363.2,6.132,1
2024-01-27 19:36:03,1437.9,5.721,1
2024-01-27 19:36:03,1513,5.258,1
2024-01-27 19:36:03,1538.1,5.113,1
2024-01-27 19:36:03,1587.7,4.874,1
2024-01-27 19:36:03,1662.6,4.477,1
2024-01-27 19:36:03,1687.8,4.292,1
2024-01-27 19:36:03,1738.1,4.016,1
2024-01-27 19:36:03,1812.6,3.686,1
2024-01-27 19:36:03,1863,3.511,1
2024-01-27 19:36:03,1912.8,3.335,1
2024-01-27 19:36:03,1987.8,3.157,1
2024-01-27 19:36:03,2003.3,3.127,1
2024-02-06 19:32:25,0.4,27.451,1
2024-02-06 19:32:25,1,27.452,1
2024-02-06 19:32:25,3,27.449,1
2024-02-06 19:32:25,4.9,27.456,1
2024-02-06 19:32:25,7.9,27.46,1
2024-02-06 19:32:25,10.1,27.447,1
2024-02-06 19:32:25,15.6,26.958,1
2024-02-06 19:32:25,45.7,26.683,1
2024-02-06 19:32:25,55.7,26.614,1
2024-02-06 19:32:25,75.3,23.741,1
2024-02-06 19:32:25,95.3,22.363,1
2024-02-06 19:32:25,125.5,21.169,1
2024-02-06 19:32:25,145.6,19.984,1
2024-02-06 19:32:25,165.7,19.236,1
2024-02-06 19:32:25,185.3,18.024,1
